Date,Open,High,Low,Close,Volume
09/19/2025,"28.90","28.90","28.50","28.70","1,348,857"
09/18/2025,"29.00","29.00","28.00","28.80","374,307"
09/17/2025,"29.30","29.50","28.85","29.35","23,822,641"
09/16/2025,"29.35","29.40","29.25","29.30","2,695,910"
09/15/2025,"29.30","29.50","29.30","29.40","2,391,036"
09/12/2025,"29.15","29.95","29.15","29.45","614,059"
09/11/2025,"29.15","29.50","29.10","29.20","5,702,145"
09/10/2025,"29.15","29.25","29.00","29.15","16,781,230"
09/09/2025,"29.25","29.25","29.00","29.10","5,330,549"
09/08/2025,"29.80","30.00","29.00","29.25","1,738,713"
09/05/2025,"29.90","30.00","29.80","29.95","12,119,800"
09/04/2025,"30.50","31.00","29.80","30.00","34,749,398"
09/03/2025,"30.00","30.15","29.30","29.95","30,116,891"
09/02/2025,"28.85","29.95","28.85","29.10","23,232,789"
09/01/2025,"28.75","28.90","28.50","28.80","5,742,617"
08/29/2025,"28.60","28.85","28.50","28.60","28,019,289"
08/28/2025,"28.50","28.70","28.00","28.55","3,008,405"
08/27/2025,"28.50","28.75","28.00","28.45","2,624,144"
08/26/2025,"28.30","28.90","28.00","28.50","9,970,129"
08/25/2025,"28.00","28.35","27.70","28.10","5,321,247"
08/22/2025,"28.00","28.45","27.50","28.25","9,545,368"
08/21/2025,"27.25","28.60","27.25","27.90","3,784,773"
08/20/2025,"26.80","28.30","26.50","27.25","3,199,492"
08/19/2025,"27.00","27.00","26.70","26.80","766,709"
08/18/2025,"27.00","27.20","26.65","27.00","7,709,823"
08/15/2025,"26.55","27.00","26.50","26.90","8,595,318"
08/14/2025,"26.25","26.95","26.25","26.50","2,076,940"
08/13/2025,"26.30","26.45","26.20","26.35","4,330,815"
08/12/2025,"26.45","26.50","26.25","26.30","2,237,335"
08/11/2025,"26.30","26.60","26.25","26.40","589,698"
08/08/2025,"26.40","26.45","26.05","26.25","1,246,372"
08/07/2025,"26.00","26.95","26.00","26.40","6,651,000"
08/06/2025,"26.00","27.00","25.85","26.00","6,664,800"
08/05/2025,"25.70","26.50","25.65","25.85","607,000"
08/04/2025,"26.00","26.00","25.60","25.75","6,632,100"
08/01/2025,"26.25","26.25","25.50","26.00","8,284,100"
07/31/2025,"27.00","27.00","26.00","26.30","6,087,800"
07/30/2025,"27.05","27.50","26.50","27.40","8,515,400"
07/29/2025,"27.05","28.00","27.00","27.85","25,077,301"
07/28/2025,"27.00","27.30","26.55","27.15","7,443,900"
07/25/2025,"27.00","27.00","26.50","26.90","2,564,000"
07/24/2025,"27.30","27.30","26.80","26.90","695,700"
07/23/2025,"26.55","27.30","26.55","27.20","14,302,600"
07/22/2025,"26.45","27.00","26.40","27.00","16,612,100"
07/21/2025,"26.25","26.60","26.20","26.45","1,020,000"
07/18/2025,"26.25","26.45","26.00","26.25","460,100"
07/17/2025,"26.00","26.45","26.00","26.10","818,900"
07/16/2025,"25.65","26.45","25.50","25.85","979,100"
07/15/2025,"25.70","25.90","25.00","25.60","8,419,400"
07/14/2025,"26.00","26.00","25.50","25.70","6,359,800"
07/11/2025,"26.45","26.45","25.85","26.00","4,326,800"
07/10/2025,"26.60","26.80","26.00","26.55","8,808,500"
07/09/2025,"27.00","27.20","26.50","26.85","4,920,600"
07/08/2025,"27.20","27.50","26.50","27.20","12,591,800"
07/07/2025,"27.40","27.40","26.90","27.20","1,151,700"
07/04/2025,"26.90","27.20","26.60","26.95","1,701,200"
07/03/2025,"27.00","27.20","26.50","26.75","16,569,600"
07/02/2025,"26.40","27.40","26.20","26.45","13,248,100"
07/01/2025,"26.45","26.50","25.10","26.00","5,055,500"
06/30/2025,"25.00","25.20","24.90","25.00","2,479,200"
06/27/2025,"24.65","25.10","24.50","24.95","2,428,800"
06/26/2025,"24.25","24.95","24.20","24.55","11,269,600"
06/25/2025,"24.05","24.25","24.00","24.15","2,160,300"
06/24/2025,"23.90","24.20","23.90","24.05","5,610,500"
06/23/2025,"24.20","24.20","23.75","23.90","263,700"
06/20/2025,"24.00","24.20","23.70","23.95","324,000"
06/19/2025,"23.40","24.30","23.30","23.70","9,586,700"
06/18/2025,"23.20","23.55","23.10","23.50","2,365,400"
06/17/2025,"23.50","23.60","22.50","23.00","11,672,900"
06/16/2025,"24.50","24.50","22.90","23.55","16,672,301"
06/13/2025,"24.95","25.20","24.00","24.65","23,011,600"
06/12/2025,"24.50","25.50","24.00","24.90","42,322,898"
06/11/2025,"22.60","24.80","22.60","23.85","21,207,900"
06/10/2025,"22.00","23.15","21.50","22.60","13,319,900"
06/09/2025,"21.15","21.80","21.00","21.30","21,889,199"
06/05/2025,"20.90","21.20","20.90","21.05","1,125,900"
06/04/2025,"20.50","21.00","20.50","20.85","2,466,800"
06/03/2025,"20.60","20.65","20.40","20.45","5,561,500"
05/30/2025,"20.65","20.80","20.20","20.60","3,028,900"
05/29/2025,"20.80","20.80","20.50","20.65","7,750,700"
05/28/2025,"20.00","21.00","20.00","20.60","7,639,700"
05/27/2025,"19.90","20.15","19.85","20.00","3,520,700"
05/26/2025,"19.90","20.00","19.80","19.85","10,621,900"
05/23/2025,"19.90","20.00","19.85","19.90","1,495,300"
05/22/2025,"19.95","19.95","19.75","19.85","1,405,700"
05/21/2025,"20.00","20.00","19.75","19.85","1,476,100"
05/20/2025,"19.70","19.95","19.50","19.70","11,936,100"
05/19/2025,"20.10","20.10","19.50","19.95","4,439,900"
05/16/2025,"20.00","20.10","19.60","19.95","5,738,500"
05/15/2025,"19.60","20.25","19.50","19.90","23,840,500"
05/14/2025,"19.50","20.00","19.10","19.45","4,260,800"
05/13/2025,"18.60","19.45","18.60","19.05","25,392,000"
05/12/2025,"18.50","18.85","18.00","18.60","12,678,000"
05/09/2025,"19.00","19.10","18.20","18.50","9,924,400"
